40001|1|1|5|Ποιo όχημα είναι επιβατικό;|0|GA-1|A01
40036|1|2|5|Το μπλε λαμπάκι στο ταμπλό σημαίνει ότι είναι αναμμένα τα μεσαία φώτα;|Q36|GA-36|A 36
40037|1|1|5|Το μπλε λαμπάκι στο ταμπλό σημαίνει ότι είναι αναμμένα τα μεγάλα φώτα;|Q37|GA-37|A 37
40038|1|2|5|Το κίτρινο λαμπάκι στο ταμπλό σημαίνει ότι το καύσιμο είναι στη ρεζέρβα;|Q38|GA-38|A 38
40039|1|1|5|Το κίτρινο λαμπάκι στο ταμπλό σημαίνει ότι το ντεπόζιτο είναι γεμάτο;|Q39|GA-39|A 39
40040|1|2|5|Για να ξεθαμπώσει το πίσω τζάμι του αυτοκινήτου ποιο κουμπί πατάμε;|0|GA-40|A 40
40041|1|1|5|Ποιο λαμπάκι δείχνει ότι είναι αναμμένα τα πίσω φώτα ομίχλης;|0|GA-41|A 41
40042|1|2|5|Όταν ανάβει ένα από τα πράσινα βελάκια στο ταμπλό σημαίνει ότι έχεις βγάλει φλας;|Q42|GA-42|A 42
40043|1|1|5|Όταν ανάβει το πράσινο βελάκι στο ταμπλό σημαίνει ότι έχεις ανάψει τα μεσαία φώτα;|Q43|GA-43|A 43
40044|1|2|5|Όταν ανάβει το πράσινο λαμπάκι στο ταμπλό σημαίνει ότι έχεις ανάψει τα μικρά φώτα;|Q44|GA-44|A 44
40045|1|1|5|Όταν ανάβει το πράσινο λαμπάκι στο ταμπλό σημαίνει ότι έχεις ανάψει τα μεσαία φώτα;|Q45|GA-45|A 45
40046|1|2|5|Όταν ανάβει το πράσινο λαμπάκι στο ταμπλό σημαίνει ότι έχεις ανάψει τα μεγάλα φώτα;|Q46|GA-46|A 46
40047|1|1|5|Το κίτρινο λαμπάκι σημαίνει ότι το καύσιμο είναι στη ρεζέρβα και το κόκκινο λαμπάκι σημαίνει ότι υπάρχει πρόβλημα με το λάδι;|Q47|GA-47|A 47
40048|1|2|5|Το κίτρινο λαμπάκι σημαίνει ότι υπάρχει λίγο λάδι και το κόκκινο λαμπάκι σημαίνει ότι υπάρχει λίγο καύσιμο;|Q48|GA-48|A 48
40049|1|1|5|Το κίτρινο λαμπάκι σημαίνει ότι υπάρχει πρόβλημα με το λάδι και το κόκκινο λαμπάκι σημαίνει ότι το καύσιμο είναι στη ρεζέρβα;|Q49|GA-49|A 49
40050|1|3|5|Είναι σωστό να κρατάς το τιμόνι έτσι;|Q50|GA-50|A 50
40051|1|4|5|Ποιος κρατά σωστά το τιμόνι;|0|GA-51|A 51
40052|1|5|5|Ποιος κρατά σωστά το τιμόνι;|0|GA-52|A 52
40053|1|6|5|Ποιος κρατά σωστά το τιμόνι;|0|GA-53|A 53
40054|1|7|5|Κάθεσαι σωστά;|Q54|GA-54|A 54
40055|1|8|5|Οδηγείς σωστά όταν το κεφάλι σου ακουμπά στο προσκέφαλο;|Q55|GA-55|A 55
40056|1|9|5|Κάθεσαι σωστά;|Q56|GA-56|A 56
40057|1|3|5|Ποιος έχει σωστή θέση στο τιμόνι;|0|GA-57|A 57
40058|1|4|5|Ποιος έχει σωστή θέση στο τιμόνι;|0|GA-58|A 58
40059|1|5|5|Για μικρές βόλτες με το αυτοκίνητο χρειάζεται να φοράμε ζώνες;|Q59|GA-59|A 59
40060|1|6|5|Η ζώνη ασφαλείας που σε σώζει σε περίπτωση ατυχήματος είναι σωστά δεμένη;|Q60|GA-60|A 60
40061|1|7|5|Η ζώνη ασφαλείας που σε σώζει σε περίπτωση ατυχήματος είναι σωστά δεμένη;|Q61|GA-61|A 61
40062|1|8|5|Η ζώνη ασφαλείας που σε σώζει σε περίπτωση ατυχήματος είναι σωστά δεμένη;|Q62|GA-62|A 62
40063|1|9|5|Ο οδηγός δεν φοράει ζώνη ασφαλείας. Είναι σωστό;|Q63|GA-63|A 63
40064|1|3|5|Ο οδηγός φοράει ζώνη ασφαλείας και ο συνοδηγός δεν φοράει. Είναι σωστό;|Q64|GA-64|A 64
40065|1|4|5|Ο οδηγός φοράει ζώνη ασφαλείας και το παιδί πίσω δεν φοράει. Είναι σωστό;|Q65|GA-65|A 65
40066|1|5|5|Η μαμά κρατάει το μικρό παιδάκι στην αγκαλιά της. Είναι σωστό;|Q66|GA-66|A 66
40067|1|6|5|Ο οδηγός μεταφέρει δύο παιδιά δεμένα στο ίδιο κάθισμα. Επιτρέπεται;|Q67|GA-67|A 67
40068|1|7|5|Μια έγκυος γυναίκα πρέπει υποχρεωτικά στο αυτοκίνητο να φοράει ζώνη;|Q68|GA-68|A 68
40069|1|8|5|Ποιος φορά σωστά τη ζώνη ασφαλείας;|0|GA-69|A 69
40070|1|9|5|Ποιος οδηγός φροντίζει για την ασφάλειά του;|0|GA-70|A 70
40071|1|3|5|Ποια από τις φωτογραφίες δείχνει ότι όλοι φοράνε σωστά τη ζώνη ασφαλείας;|0|GA-71|A 71
40072|1|4|5|Ποια από τις φωτογραφίες δείχνει ότι όλοι φοράνε σωστά τη ζώνη ασφαλείας;|0|GA-72|A 72
40073|1|5|5|Ποια από τις φωτογραφίες δείχνει ότι όλοι φοράνε σωστά τη ζώνη ασφαλείας;|0|GA-73|A 73
40074|1|6|5|Ποιο είναι το στροφόμετρο;|0|GA-74|A 74
40075|1|7|5|Πότε οδηγείς με ασφάλεια;|0|GA-75|A 75
40076|1|8|5|Πότε χρησιμοποιείς νόμιμα το κινητό;|0|GA-76|A 76
40077|1|9|5|Ο οδηγός κρατάει με το ένα χέρι το τιμόνι και με το άλλο το κινητό στο αυτί του. Είναι σωστό;|Q77|GA-77|A 77
40078|1|3|5|Ο οδηγός κρατάει με τα δύο χέρια το τιμόνι και μιλάει στο κινητό έχοντας το bluetooth στο αυτί του. Αυτό επιτρέπεται;|Q78|GA-78|A 78
40079|1|4|5|Ο οδηγός κρατάει με τα δύο χέρια το τιμόνι και μιλάει στο κινητό έχοντας στο αυτί ένα ακουστικό που συνδέεται με καλώδιο με το κινητό. Αυτό επιτρέπεται;|Q79|GA-79|A 79
40080|1|5|5|Επιτρέπεται να μιλάς στο κινητό τηλέφωνο χωρίς bluetooth;|Q80|GA-80|A 80
40081|1|6|5|Πότε το παιδί μεταφέρεται σωστά;|0|GA-81|A 81
40082|1|7|5|Πότε το παιδί μεταφέρεται σωστά;|0|GA-82|A 82
40083|1|8|5|Πότε ο οδηγός οδηγεί σωστά;|0|GA-83|A 83
40084|1|9|5|Πότε ο οδηγός οδηγεί σωστά;|0|GA-84|A 84
40085|1|3|5|Πότε ο οδηγός οδηγεί σωστά;|0|GA-85|A 85
40086|1|4|5|Όταν οδηγείς πρέπει με το ένα χέρι σου να κρατάς συνέχεια το λεβιέ ταχυτήτων;|Q86|GA-86|A 86
40087|1|5|5|Όταν οδηγείς πρέπει να έχεις το πόδι σου συνέχεια επάνω στο συμπλέκτη;|Q87|GA-87|A 87
40088|1|6|5|Ποια είναι η σωστή θέση του αριστερού ποδιού όταν οδηγείς και δεν αλλάζεις ταχύτητες;|0|GA-88|A 88
40089|1|7|5|Πριν κατέβεις από το αυτοκίνητο βάζεις ταχύτητα και τραβάς το χειρόφρενο για να το ασφαλίσεις;|Q89|GA-89|A 89
40090|1|8|5|Όταν ξεκινάς χρειάζεται να λύνεις το χειρόφρενο;|Q90|GA-90|A 90
40091|1|9|5|Σε κάθε σταμάτημα σε φανάρι πρέπει να δένεις το χειρόφρενο;|Q91|GA-91|A 91
40092|1|3|5|Χρησιμοποιείς το χειρόφρενο μόνο όταν παρκάρεις σε κατηφόρες και ανηφόρες;|Q92|GA-92|A 92
40093|1|4|5|Το στροφόμετρο δείχνει με πόσες στροφές δουλεύει η μηχανή;|Q93|GA-93|A 93
40094|1|5|5|Το στροφόμετρο δείχνει με πόσες στροφές γυρίζουν οι ρόδες;|Q94|GA-94|A 94
40095|1|6|5|Το στροφόμετρο δείχνει με πόσα χιλιόμετρα την ώρα τρέχει το αυτοκίνητο;|Q95|GA-95|A 95
40096|1|7|5|Το στροφόμετρο είναι χρήσιμο για να καταλαβαίνεις πότε χρειάζεται να αλλάζεις ταχύτητες;|Q96|GA-96|A 96
40097|1|8|5|Κάθε χρόνο πρέπει να πληρώνεις τα τέλη κυκλοφορίας και να κολλάς στο παρμπρίζ το σήμα;|Q97|GA-97|A 97
40098|1|9|5|Πρέπει να πληρώνεις τα ασφάλιστρα στην ασφαλιστική εταιρεία;|Q98|GA-98|A 98
40099|1|3|5|Κάθε δύο χρόνια το αυτοκίνητο περνάει από έλεγχο στο ΚΤΕΟ και κολλάνε ένα σήμα στην πίσω πινακίδα;|Q99|GA-99|A 99
40100|1|4|5|Το αυτοκίνητο πρέπει να είναι πάντα ασφαλισμένο. Είναι υποχρεωτικό να έχεις μαζί σου στο αυτοκίνητο το σήμα ασφάλισης;|Q100|GA-100|A 100
40101|1|5|5|Ποια φωτογραφία δείχνει ότι είναι κολλημένο σωστά το αυτοκόλλητο σήμα των τελών κυκλοφορίας;|0|GA-101|A 101
40102|1|6|5|Όταν είσαι σταματημένος στο φανάρι πρέπει να βγάζεις την ταχύτητα και να μην πατάς το συμπλέκτη;|Q102|GA-102|A 102
40103|1|7|5|Όταν είσαι σταματημένος στο φανάρι βάζεις 1η ταχύτητα, πατάς συνέχεια το συμπλέκτη και είσαι έτοιμος να ξεκινήσεις;|Q103|GA-103|A 103
40104|1|8|5|Οδηγείς και επειδή τα παιδιά στα πίσω καθίσματα είναι άτακτα γυρίζεις το κεφάλι για να τα μαλώσεις. Είναι σωστό;|Q104|GA-104|A 104
40105|1|9|5|Οδηγείς και έχεις μπροστά σου μικρό παιδί που κρατάει το τιμόνι για να μάθει να οδηγεί. Επιτρέπεται;|Q105|GA-105|A 105
40106|1|3|5|Είναι σωστά φορτωμένο το επιβατικό αυτοκίνητο;|Q106|GA-106|A 106
40107|1|4|5|Το αυτοκίνητό σου έχει λασπωμένα φώτα. Είναι σωστό να οδηγείς έτσι;|Q107|GA-107|A 107
40108|1|5|5|Οι πινακίδες κυκλοφορίας είναι λασπωμένες και δεν φαίνεται ο αριθμός. Επιτρέπεται;|Q108|GA-108|A 108
40109|1|6|5|Οδηγείς χωρίς να έχεις κλείσει σωστά την πόρτα. Είναι ασφαλές;|Q109|GA-109|A 109
40110|1|7|5|Οδηγείς και βλέπεις στο ταμπλό το κόκκινο λαμπάκι αναμμένο που σημαίνει ότι μία πόρτα είναι ανοικτή. Εσύ συνεχίζεις να οδηγείς. Είναι σωστό;|Q110|GA-110|A 110
40111|1|8|5|Πριν ξεκινήσεις πρέπει να ρυθμίσεις όλους τους καθρέπτες για να μπορείς να ελέγχεις πίσω;|Q111|GA-111|A 111
40112|1|9|5|Οδηγείς και ελέγχεις με τον αριστερό καθρέπτη πίσω. Βλέπεις τα πάντα;|Q112|GA-112|A 112
40113|1|3|5|Επειδή με τον αριστερό καθρέπτη δεν βλέπεις τα πάντα δίπλα και πίσω, πρέπει να γυρίζεις το κεφάλι σου πάνω από τον ώμο σου για να ελέγχεις;|Q113|GA-113|A 113
40114|1|4|5|Όταν θέλεις να αλλάξεις λωρίδα κυκλοφορίας ή να στρίψεις πρέπει πάντα να γυρνάς το κεφάλι σου πάνω από τον ώμο σου για να ελέγχεις;|Q114|GA-114|A 114
40115|1|5|5|Σε κατηφόρα πατάς το συμπλέκτη για να αφήνεις το αυτοκίνητο να πηγαίνει πιο γρήγορα;|Q115|GA-115|A 115
40116|1|6|5|Σε κατηφόρα βγάζεις την ταχύτητα για να πηγαίνεις πιο γρήγορα;|Q116|GA-116|A 116
40117|1|7|5|Στην κατηφόρα σβήνεις τη μηχανή για οικονομία, αφού μπορεί το αυτοκίνητο να κινείται μόνο του;|Q117|GA-117|A 117
40118|1|8|5|Όταν κατεβαίνεις μια απότομη κατηφόρα βάζεις την ίδια ταχύτητα που θα έβαζες αν ανέβαινες την ίδια ανηφόρα;|Q118|GA-118|A 118
40119|1|9|5|Όταν ανεβαίνεις απότομη ανηφόρα βάζεις μια πιο μικρή ταχύτητα στο κιβώτιο;|Q119|GA-119|A 119
40120|1|3|5|Όταν ανεβαίνεις απότομη ανηφόρα βάζεις μια πιο μεγάλη ταχύτητα στο κιβώτιο;|Q120|GA-120|A 120
40121|1|4|5|Όταν κατεβαίνεις κατηφόρα βάζεις μια πιο μεγάλη ταχύτητα στο κιβώτιο;|Q121|GA-121|A 121
40122|1|5|5|Όταν οδηγείς επιτρέπεται ο δείκτης στο στροφόμετρο να είναι στο κόκκινο;|Q122|GA-122|A 122
40123|1|6|5|Πρέπει να πατάς το γκάζι τόσο, ώστε να μην «μουγκρίζει» ο κινητήρας;|Q123|GA-123|A 123
40124|1|7|5|Όταν πατάς αυτό το κουμπί ανάβουν τα μεσαία φώτα;|Q124|GA-124|A 124
40125|1|8|5|Όταν πατάς αυτό το κουμπί ανάβουν τα αλάρμ που σημαίνουν κίνδυνο;|Q125|GA-125|A 125
40126|1|9|5|Πρέπει να πατάς αυτό το κουμπί όταν χαλάσει το αυτοκίνητο την ώρα που οδηγείς;|Q126|GA-126|A 126
40127|1|3|5|Πατάς αυτό το κουμπί όταν νιώσεις αδιαθεσία και πρέπει να σταματήσεις το αυτοκίνητο;|Q127|GA-127|A 127
40128|1|4|5|Πατάς αυτό το κουμπί όταν ξαφνικά μπροστά σου σταματήσουν απότομα τα αυτοκίνητα για να σε προσέξουν οι οδηγοί πίσω σου;|Q128|GA-128|A 128
40129|1|5|5|Πατάς αυτό το κουμπί όταν στον αυτοκινητόδρομο χαλάσει το αυτοκίνητο και αναγκαστείς να το βγάλεις έξω από τη συνεχή άσπρη γραμμή;|Q129|GA-129|A 129
40130|1|6|5|Τα πίσω φώτα ομίχλης ανάβουν μόνο αν έχεις ανάψει τα μεσαία ή τα μεγάλα φώτα;|Q130|GA-130|A 130
40131|1|7|5|Τα φώτα ομίχλης ανάβουν υποχρεωτικά μαζί με τα μεσαία φώτα;|Q131|GA-131|A 131
40132|1|8|5|Τα μπροστινά φώτα ομίχλης τα ανάβεις μέσα στην πόλη μόνο αν υπάρχει ομίχλη και δεν έχει καλό φωτισμό;|Q132|GA-132|A 132
40133|1|9|5|Μόνο τη νύχτα μπορείς να κάνεις σινιάλο με τα φώτα για να ειδοποιήσεις τους άλλους σε περίπτωση κινδύνου;|Q133|GA-133|A 133
40134|1|3|5|Πρέπει να κάνεις σινιάλο με τα φώτα ή να κορνάρεις για να ξεκινήσει ή να πάει πιο γρήγορα ο μπροστινός οδηγός;|Q134|GA-134|A 134
40135|1|4|5|Το φως της πίσω πινακίδας πρέπει υποχρεωτικά να ανάβει όταν ανάβουν τα φώτα;|Q135|GA-135|A 135
40136|1|5|5|Όταν πατάς φρένο και το πίσω φανάρι είναι σπασμένο δεν φαίνεται το κόκκινο χρώμα. Υπάρχει κίνδυνος για ατύχημα;|Q136|GA-136|A 136
40137|1|6|5|Ένα κομμάτι του προφυλακτήρα κρέμεται. Είναι επικίνδυνο;|Q137|GA-137|A 137
40138|1|7|5|Το αυτοκίνητό σου δεν έχει πινακίδες. Επιτρέπεται να κυκλοφορείς έτσι ακόμα και αν έχεις δίπλωμα;|Q138|GA-138|A 138
40139|1|8|5|Το αυτοκίνητό σου έχει λάστιχα που έχουν σχισίματα ή εξογκώματα στο πλάι. Μπορείς να τα χρησιμοποιείς αφού δεν έχουν σκάσει;|Q139|GA-139|A 139
40140|1|9|5|Τα καινούργια λάστιχα πρέπει να αλλάζονται μετά από 40.000 χιλιόμετρα και οπωσδήποτε πριν περάσουν 4 χρόνια;|Q140|GA-140|A 140
40141|1|3|5|Μια φορά το μήνα πρέπει να πηγαίνεις στο βενζινάδικο ή στο βουλκανιζατέρ και να ελέγχεις την πίεση του αέρα στα λάστιχα;|Q141|GA-141|A 141
40142|1|4|5|Πρέπει να πηγαίνεις στο βουλκανιζατέρ μόλις δεις ότι το λάστιχο χάνει αέρα;|Q142|GA-142|A 142
40143|1|5|5|Όταν θέλεις να ελέγξεις την πίεση στα λάστιχα αυτό θα το κάνεις αφού πρώτα ζεσταθούν;|Q143|GA-143|A 143
40144|1|6|5|Τα λάστιχα πρέπει να τα φουσκώνουμε κάθε μήνα;|Q144|GA-144|A 144
40145|1|7|5|Όταν έχουν λιώσει τα λάστιχα υπάρχει κίνδυνος να γλιστράς στο δρόμο;|Q145|GA-145|A 145
40146|1|8|5|Όταν θέλεις να μεταφέρεις πολύ βαριά πράγματα στο πορτ-παγκάζ πρέπει να βάλεις περισσότερο αέρα στα λάστιχα;|Q146|GA-146|A 146
40147|1|9|5|Αλλάζεις ένα μπροστινό λάστιχο τη μια χρονιά και το άλλο την επόμενη. Είναι σωστό;|Q147|GA-147|A 147
40148|1|3|5|Tα μπροστινά λάστιχα πρέπει να είναι ίδια;|Q148|GA-148|A 148
40149|1|4|5|Μπορείς να οδηγείς με τη ρεζέρβα για πολλά χιλιόμετρα;|Q149|GA-149|A 149
40150|1|5|5|Μετά το καλοκαίρι πρέπει να αλλάξεις τα λαστιχάκια στους υαλοκαθαριστήρες;|Q150|GA-150|A 150
40151|1|6|5|Είναι επικίνδυνο να οδηγείς ένα αυτοκίνητο που έχει χτυπημένο ένα φτερό;|Q151|GA-151|A 151
40152|1|7|5|Στο ταμπλό υπάρχει ο αερόσακος για το συνοδηγό. Επιτρέπεται πάνω σ΄αυτό να κολλάς διάφορα αντικείμενα;|Q152|GA-152|A 152
40153|1|8|5|Είναι σωστή αυτή η μεταφορά;|Q153|GA-153|A 153
40154|1|9|5|Είναι σωστή αυτή η μεταφορά;|Q154|GA-154|A 154
40155|1|3|5|Το παιδί με το ποδήλατο κρατιέται στο αυτοκίνητο. Κινδυνεύει;|Q155|GA-155|A 155
40156|1|4|5|Όταν οδηγείς επιτρέπεται να έχεις την τηλεόραση ανοικτή;|Q156|GA-156|A 156
40157|1|5|5|Για να καθαρίζεις τα τζάμια πρέπει να έχεις βάλει ειδικό υγρό στο δοχείο;|Q157|GA-157|A 157
40158|1|6|5|Το λάδι της μηχανής είναι λιγότερο απ’ όσο πρέπει. Μπορείς μόνος σου να προσθέσεις λίγο;|Q158|GA-158|A 158
40159|1|7|5|Το υγρό των φρένων έχει κατεβεί στο δοχείο. Μπορείς να προσθέσεις λίγο;|Q159|GA-159|A 159
40160|1|8|5|Όταν φορτώνεις περισσότερο το αυτοκίνητό σου μπορείς μόνος σου να ρυθμίζεις τα φώτα;|Q160|GA-160|A 160
40161|1|10|5|Αυτές οι πινακίδες δείχνουν κίνδυνο;|Q161|GA-161|A 161
40162|1|11|5|Οι πινακίδες αυτές σημαίνουν απαγόρευση;|Q162|GA-162|A 162
40163|1|12|5|Ποια πινακίδα σημαίνει κίνδυνο;|0|GA-163|A 163
40164|1|13|5|Οι πινακίδες αυτές σημαίνουν απαγόρευση και η παραβίασή τους μπορεί να προκαλέσει ατύχημα;|Q164|GA-164|A 164
40165|1|14|5|Οι πινακίδες αυτές σημαίνουν απαγόρευση και η παραβίασή τους τιμωρείται;|Q165|GA-165|A 165
40166|1|15|5|Οι μπλε πινακίδες δείχνουν κάτι υποχρεωτικό;|Q166|GA-166|A 166
40167|1|16|5|Οι μπλε πινακίδες δείχνουν κάτι υποχρεωτικό. H παραβίασή τους μπορεί να προκαλέσει ατύχημα;|Q167|GA-167|A 167
40168|1|17|5|Οι μπλε πινακίδες δείχνουν κάτι υποχρεωτικό. H παραβίασή τους τιμωρείται;|Q168|GA-168|A 168
40169|1|18|5|Αυτές οι πινακίδες σου δίνουν πληροφορίες;|Q169|GA-169|A 169
40170|1|19|5|Αυτές οι πινακίδες σου δίνουν πληροφορίες για τον αυτοκινητόδρομο;|Q170|GA-170|A 170
40171|1|10|5|Ποια πινακίδα σημαίνει απαγόρευση;|0|GA-171|A 171
40172|1|11|5|Ποια πινακίδα δίνει πληροφορίες χωρίς να υποχρεώνει τον οδηγό;|0|GA-172|A 172
40173|1|12|5|Αν μπεις στο αδιέξοδο που δείχνει η πινακίδα θα τιμωρηθείς;|Q173|GA-173|A 173
40174|1|13|5|Η πινακίδα αυτή υποχρεώνει τον οδηγό να βάλει καύσιμα;|Q174|GA-174|A 174
40175|1|14|5|Στην πινακίδα αυτή σταματάς το αυτοκίνητό σου;|Q175|GA-175|A 175
40176|1|15|5|Στην πινακίδα αυτή περνάς με προσοχή χωρίς να σταματάς;|Q176|GA-176|A 176
40177|1|16|5|Σε μία διασταύρωση μ’ αυτήν την πινακίδα σταματάς και ξεκινάς όταν δεν έρχεται κανείς;|Q177|GA-177|A 177
40178|1|17|5|Σ’ ένα δρόμο χωρίς διασταύρωση βλέπεις αυτήν την πινακίδα. Σταματάς ακριβώς πριν την πινακίδα;|Q178|GA-178|A 178
40179|1|18|5|Όταν βλέπεις αυτήν την πινακίδα πρέπει να τρέχεις περισσότερο;|Q179|GA-179|A 179
40180|1|19|5|Όταν βλέπεις αυτήν την πινακίδα πρέπει να κόβεις ταχύτητα και να περνάς μόνο όταν δεν υπάρχει κίνδυνος;|Q180|GA-180|A 180
40181|1|10|5|Όταν βλέπεις αυτήν την πινακίδα δεν περνάς όταν περνάνε άλλα αυτοκίνητα;|Q181|GA-181|A 181
40182|1|11|5|Όταν βλέπεις αυτήν την πινακίδα σημαίνει ότι περνάς χωρίς να ελέγχεις καθόλου;|Q182|GA-182|A 182
40183|1|12|5|Όταν βλέπεις αυτήν την πινακίδα σημαίνει ότι εσύ έχεις προτεραιότητα;|Q183|GA-183|A 183
40184|1|13|5|Όταν βλέπεις αυτήν την πινακίδα σημαίνει ότι όταν οδηγείς φορτηγό απαγορεύεται να μπεις στο δρόμο αυτό;|Q184|GA-184|A 184
40185|1|14|5|Όταν βλέπεις αυτήν την πινακίδα σημαίνει ότι όταν οδηγείς φορτηγό επιτρέπεται να μπαίνεις στο δρόμο αυτό;|Q185|GA-185|A 185
40186|1|15|5|Όταν βλέπεις αυτήν την πινακίδα σημαίνει ότι όταν οδηγείς φορτηγό είναι υποχρεωτικό να μπεις στο δρόμο αυτό;|Q186|GA-186|A 186
40187|1|16|5|Όταν βλέπεις αυτήν την πινακίδα σημαίνει ότι θα συναντήσεις φορτηγό;|Q187|GA-187|A 187
40188|1|17|5|Όταν στο δρόμο βλέπεις άσπρες και κίτρινες γραμμές ακολουθείς τις κίτρινες;|Q188|GA-188|A 188
40189|1|18|5|Όταν στο δρόμο βλέπεις άσπρες και κίτρινες γραμμές ακολουθείς τις άσπρες γραμμές;|Q189|GA-189|A 189
40190|1|19|5|Αυτή η πινακίδα σημαίνει ότι απαγορεύεται να μπεις σ’ αυτόν το δρόμο αν το αυτοκίνητό σου είναι ψηλότερο από 3,5 μέτρα;|Q190|GA-190|A 190
40191|1|10|5|Αυτή η πινακίδα σημαίνει ότι απαγορεύεται να μπεις σ’ αυτόν το δρόμο αν το αυτοκίνητό σου είναι χαμηλότερο από 3,5 μέτρα;|Q191|GA-191|A 191
40192|1|11|5|Αυτή η πινακίδα σημαίνει ότι απαγορεύεται να μπεις σ’ αυτόν το δρόμο αν το αυτοκίνητό σου ζυγίζει περισσότερο από 3,5 τόνους;|Q192|GA-192|A 192
